['G51', 'G48', 'G33', 'G21', 'G19', 'G14', 'G73', 'G66'];;X;Y;X1;Y1
V1;;744489,6899;6944624,917;744489,6758;6944624,956
V2;;744358,7678;6944595,196;744358,736;6944595,225
V3;;744292,6818;6944529,685;744292,6446;6944529,697
V4;;744379,7369;6944471,731;744379,6964;6944471,762
V5;;744375,6432;6944361,047;744375,6141;6944361,106
V6;;744365,5238;6944281,729;744365,4823;6944281,783
V7;;744506,2702;6944317,479;744506,248;6944317,532
V8;;744640,4956;6944241,532;744640,5095;6944241,599
V9;;744709,4089;6944282,432;744709,4169;6944282,495
V10;;744648,4442;6944171,167;744648,4497;6944171,232
V11;;744775,985;6944099,926;744776,0061;6944099,946
V12;;744851,9445;6943999,339;744851,9517;6943999,337
V13;;744958,5747;6944107,773;744958,6138;6944107,754
V14;;744983,8506;6944177,197;744983,8694;6944177,169
V15;;744873,2043;6944252,745;744873,2112;6944252,756
V16;;744961,3656;6944365,327;744961,3927;6944365,329
V17;;744895,8995;6944433,296;744895,9053;6944433,308
V18;;745027,9537;6944505,272;745027,9742;6944505,255
V19;;744947,5256;6944568,043;744947,5341;6944568,059
V20;;744909,3603;6944668,25;744909,3748;6944668,278
V21;;744850,3615;6944703,995;744850,3571;6944704,026
V22;;744801,2703;6944637,611;744801,2928;6944637,669
V23;;744715,7912;6944606,098;744715,8142;6944606,16
V24;;744710,6571;6944516,866;744710,6729;6944516,927
V25;;744799,7094;6944440,587;744799,7232;6944440,624
V26;;744659,636;6944369,936;744659,6545;6944369,991
V27;;744601,7908;6944461,982;744603,0966;6944461,605
V28;;744704,474;6944714,315;744704,4781;6944714,369
V29;;744692,8648;6944781,455;744692,875;6944781,506
V30;;744591,9154;6944851,06;744591,909;6944851,045
V31;;744387,3606;6944783,02;744387,361;6944782,996
V32;;744500,9904;6944802,757;744500,9932;6944802,758
V33;;744566,623;6944688,745;744566,6149;6944688,784
V34;;744477,3532;6944739,317;744477,1801;6944739,488
['G50', 'G47', 'G31', 'G22', 'G20', 'G77', 'G68', 'G65'];;;;;
V1;;744489,6854;6944624,919;744489,6758;6944624,956
V2;;744358,7621;6944595,198;744358,736;6944595,225
V3;;744292,6757;6944529,686;744292,6446;6944529,697
V4;;744379,731;6944471,731;744379,6964;6944471,762
V5;;744375,6367;6944361,046;744375,6141;6944361,106
V6;;744365,5168;6944281,727;744365,4823;6944281,783
V7;;744506,2642;6944317,478;744506,248;6944317,532
V8;;744640,4924;6944241,531;744640,5095;6944241,599
V9;;744709,4062;6944282,432;744709,4169;6944282,495
V10;;744648,441;6944171,166;744648,4497;6944171,232
V11;;744775,9826;6944099,925;744776,0061;6944099,946
V12;;744851,9419;6943999,336;744851,9517;6943999,337
V13;;744958,5735;6944107,772;744958,6138;6944107,754
V14;;744983,8495;6944177,196;744983,8694;6944177,169
V15;;744873,2023;6944252,745;744873,2112;6944252,756
V16;;744961,3644;6944365,328;744961,3927;6944365,329
V17;;744895,898;6944433,297;744895,9053;6944433,308
V18;;745027,9529;6944505,274;745027,9742;6944505,255
V19;;744947,5247;6944568,045;744947,5341;6944568,059
V20;;744909,3593;6944668,254;744909,3748;6944668,278
V21;;744850,3598;6944703,999;744850,3571;6944704,026
V22;;744801,2683;6944637,614;744801,2928;6944637,669
V23;;744715,7884;6944606,1;744715,8142;6944606,16
V24;;744710,6543;6944516,868;744710,6729;6944516,927
V25;;744799,7074;6944440,588;744799,7232;6944440,624
V26;;744659,6329;6944369,937;744659,6545;6944369,991
V27;;744601,787;6944461,983;744603,0966;6944461,605
V28;;744704,471;6944714,318;744704,4781;6944714,369
V29;;744692,8616;6944781,458;744692,875;6944781,506
V30;;744591,9101;6944851,063;744591,909;6944851,045
V31;;744387,3534;6944783,022;744387,361;6944782,996
V32;;744500,9858;6944802,76;744500,9932;6944802,758
